0a,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a
1a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a,1a,0a,0a,1a
1a,0a,0a,1a,0a,0a,1a,1a,0a,1a,1a,1a,1a,0a,0a,1a
1a,1a,0a,1a,0a,1a,0a,0a,1a,0a,0a,1a,1a,0a,0a,1a
0a,1a,0a,0a,0a,1a,0a,1a,1a,0a,0a,1a,0a,0a,1a,0a
1a,0a,1a,1a,0a,1a,1a,0a,0a,0a,0a,1a,0a,0a,1a,0a
0a,0a,0a,1a,0a,1a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a
1a,0a,0a,1a,1a,1a,0a,0a,1a,1a,1a,0a,1a,0a,0a,0a
1a,0a,0a,1a,0a,1a,0a,1a,0a,1a,1a,0a,1a,1a,0a,0a
0a,1a,0a,0a,0a,0a,1a,0a,0a,1a,0a,0a,0a,0a,1a,0a
0a,1a,0a,0a,1a,0a,1a,0a,1a,0a,1a,0a,1a,0a,1a,0a
1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,1a,1a,0a
0a,0a,0a,0a,1a,1a,0a,0a,1a,0a,0a,1a,1a,0a,0a,0a
0a,0a,0a,0a,0a,1a,1a,0a,1a,1a,1a,1a,0a,0a,0a,0a
0a,0a,0a,1a,0a,0a,1a,1a,1a,1a,0a,0a,0a,1a,1a,0a
0a,1a,1a,0a,0a,1a,0a,1a,0a,0a,1a,0a,0a,0a,1a,0a
1a,0a,0a,1a,0a,0a,1a,0a,0a,0a,0a,0a,1a,0a,0a,1a
1a,1a,0a,1a,0a,1a,0a,1a,0a,0a,0a,0a,1a,0a,0a,1a
0a,0a,0a,1a,1a,0a,0a,1a,0a,1a,0a,1a,0a,0a,0a,0a
0a,1a,1a,0a,1a,0a,1a,0a,0a,1a,1a,1a,0a,0a,1a,1a
0a,1a,0a,1a,0a,1a,0a,0a,0a,1a,0a,0a,0a,1a,0a,1a
1a,1a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,0a,0a
0a,0a,0a,0a,0a,1a,1a,1a,0a,0a,1a,0a,0a,0a,1a,0a
1a,1a,0a,1a,0a,1a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a
1a,1a,0a,0a,1a,0a,1a,0a,0a,0a,0a,0a,0a,1a,0a,1a
1a,0a,1a,0a,0a,1a,1a,1a,0a,0a,1a,0a,1a,0a,1a,1a
0a,0a,0a,1a,1a,0a,1a,1a,0a,0a,1a,0a,1a,0a,0a,0a
0a,1a,1a,1a,0a,0a,0a,1a,0a,0a,0a,1a,0a,1a,1a,0a
0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,1a
0a,0a,0a,1a,0a,0a,0a,1a,0a,0a,0a,0a,1a,0a,1a,1a
1a,1a,0a,1a,0a,0a,0a,1a,1a,1a,0a,0a,0a,0a,0a,1a
0a,0a,1a,1a,1a,1a,0a,0a,1a,1a,0a,1a,0a,0a,0a,1a
1a,1a,0a,1a,1a,1a,0a,0a,0a,0a,1a,0a,1a,0a,0a,1a
1a,1a,0a,1a,0a,0a,0a,1a,1a,0a,1a,0a,0a,0a,0a,1a
1a,1a,1a,1a,1a,0a,0a,0a,0a,0a,1a,0a,1a,1a,0a,1a
0a,1a,0a,0a,1a,1a,0a,1a,0a,0a,0a,0a,0a,0a,1a,0a
0a,1a,0a,0a,1a,0a,0a,0a,0a,0a,1a,1a,1a,0a,1a,0a
0a,1a,1a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,1a,1a,0a
0a,0a,0a,0a,0a,1a,0a,1a,1a,1a,1a,1a,1a,0a,0a,0a
1a,1a,0a,0a,0a,0a,0a,1a,0a,0a,1a,0a,1a,1a,1a,1a
0a,1a,0a,0a,0a,1a,1a,1a,0a,1a,1a,0a,0a,1a,0a,1a
0a,1a,0a,0a,0a,0a,1a,0a,0a,1a,0a,0a,1a,1a,0a,0a
0a,1a,1a,0a,0a,0a,0a,0a,1a,1a,0a,0a,1a,0a,1a,0a
0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,1a,0a,0a
0a,1a,1a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a
1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a
0a,1a,1a,1a,0a,0a,0a,1a,1a,0a,0a,0a,1a,1a,0a,0a
0a,1a,1a,0a,0a,1a,1a,0a,1a,1a,0a,0a,1a,1a,1a,1a
1a,1a,0a,1a,0a,0a,1a,1a,0a,0a,0a,1a,0a,0a,1a,1a
0a,1a,0a,0a,0a,0a,0a,1a,1a,1a,0a,1a,1a,1a,1a,1a
0a,1a,1a,0a,1a,0a,1a,0a,0a,1a,1a,0a,1a,0a,0a,1a
0a,1a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,0a
1a,1a,1a,0a,1a,0a,1a,0a,1a,0a,0a,0a,1a,0a,0a,1a
0a,0a,0a,0a,1a,0a,0a,1a,1a,0a,0a,0a,0a,1a,0a,1a
1a,0a,1a,1a,1a,1a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a
0a,1a,1a,0a,0a,0a,0a,0a,1a,1a,0a,1a,0a,0a,0a,0a
0a,1a,0a,0a,0a,0a,1a,0a,1a,1a,1a,0a,1a,0a,0a,0a
0a,1a,0a,1a,1a,1a,0a,1a,0a,0a,0a,0a,0a,1a,1a,1a
0a,0a,1a,0a,0a,1a,0a,0a,0a,1a,1a,1a,1a,1a,0a,1a
0a,1a,0a,1a,1a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a
0a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,1a,0a,0a
1a,0a,1a,0a,1a,0a,0a,0a,0a,1a,0a,0a,1a,1a,0a,0a
1a,0a,0a,1a,1a,0a,0a,1a,1a,1a,1a,0a,1a,0a,0a,0a
0a,1a,0a,0a,0a,1a,0a,1a,1a,0a,1a,0a,0a,0a,1a,1a
0a,0a,0a,1a,0a,0a,0a,0a,0a,1a,0a,1a,1a,0a,0a,0a
1a,0a,0a,0a,0a,1a,0a,0a,0a,1a,0a,0a,0a,1a,1a,1a
0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a,0a,0a
0a,0a,0a,1a,0a,0a,0a,0a,0a,1a,0a,0a,0a,1a,0a,1a
0a,1a,0a,0a,0a,0a,1a,0a,1a,0a,0a,0a,1a,0a,0a,0a
1a,1a,0a,0a,1a,0a,1a,1a,0a,1a,0a,0a,1a,0a,0a,1a
1a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,1a,1a
1a,0a,0a,0a,0a,0a,1a,0a,1a,0a,0a,0a,1a,0a,0a,0a
0a,0a,1a,0a,0a,0a,0a,1a,1a,0a,1a,0a,0a,0a,0a,1a
1a,1a,1a,0a,1a,0a,0a,0a,1a,1a,0a,0a,1a,0a,0a,0a
0a,1a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a
0a,0a,1a,0a,1a,1a,1a,1a,0a,1a,1a,1a,1a,0a,0a,0a
1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a
1a,1a,0a,0a,0a,1a,1a,1a,1a,0a,0a,1a,1a,1a,0a,0a
0a,1a,0a,0a,0a,1a,1a,0a,0a,0a,0a,0a,1a,0a,0a,0a
1a,0a,0a,0a,1a,1a,1a,0a,0a,1a,0a,0a,0a,0a,1a,1a
0a,1a,0a,0a,0a,1a,1a,0a,0a,1a,0a,0a,0a,0a,1a,1a
1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,1a,0a,1a
0a,0a,1a,0a,0a,1a,1a,0a,0a,1a,0a,0a,0a,0a,1a,1a
0a,0a,0a,1a,0a,1a,1a,0a,0a,0a,0a,1a,0a,0a,1a,1a
1a,1a,1a,0a,0a,0a,1a,0a,0a,1a,0a,1a,0a,1a,1a,0a
0a,0a,0a,1a,0a,0a,0a,0a,1a,0a,1a,0a,0a,1a,1a,0a
0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,1a,0a,0a,0a,1a
0a,0a,0a,1a,0a,0a,0a,0a,1a,0a,1a,0a,1a,0a,0a,0a
0a,0a,0a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a
1a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a,1a,0a
0a,1a,0a,0a,1a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a
0a,1a,0a,0a,1a,1a,0a,1a,0a,0a,0a,1a,0a,0a,0a,1a
0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a,1a
1a,1a,1a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a
1a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,0a,1a,1a,0a,1a
0a,0a,1a,1a,0a,0a,0a,0a,0a,1a,1a,0a,1a,0a,0a,0a
1a,0a,1a,1a,0a,0a,1a,0a,1a,1a,0a,1a,0a,1a,0a,1a
0a,1a,1a,1a,0a,0a,0a,0a,0a,1a,0a,1a,0a,0a,1a,1a
0a,0a,1a,0a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,1a
0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a
1a,1a,0a,1a,0a,0a,0a,0a,1a,0a,1a,0a,1a,1a,0a,0a
0a,0a,1a,1a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a
0a,1a,1a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,1a,0a
1a,0a,0a,1a,1a,1a,0a,0a,0a,0a,0a,1a,0a,0a,1a,0a
0a,0a,0a,0a,1a,1a,0a,0a,1a,1a,1a,0a,0a,0a,1a,0a
0a,1a,1a,0a,1a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,1a
0a,1a,0a,0a,0a,0a,1a,0a,0a,0a,1a,0a,1a,1a,0a,1a
0a,0a,1a,0a,1a,0a,1a,0a,0a,0a,1a,0a,1a,0a,0a,0a
0a,1a,0a,0a,0a,1a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a
1a,1a,0a,0a,0a,1a,0a,0a,1a,0a,0a,0a,0a,0a,1a,0a
1a,0a,1a,1a,1a,0a,0a,0a,0a,1a,1a,1a,0a,0a,1a,0a
0a,0a,0a,1a,1a,1a,1a,1a,1a,0a,0a,0a,0a,0a,0a,0a
1a,1a,0a,0a,0a,1a,0a,0a,0a,1a,0a,0a,1a,0a,0a,1a
0a,1a,0a,1a,1a,1a,0a,1a,1a,0a,1a,1a,1a,0a,0a,1a
0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,1a,1a,0a,1a
0a,1a,1a,1a,1a,0a,0a,1a,1a,0a,1a,1a,0a,0a,0a,1a
1a,1a,0a,1a,0a,1a,1a,0a,0a,0a,0a,1a,0a,0a,0a,1a
0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,1a,1a,1a,1a
1a,1a,0a,0a,1a,0a,0a,1a,0a,1a,0a,1a,0a,0a,0a,0a
0a,1a,1a,1a,0a,1a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a
1a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a,0a,1a,0a,1a,1a
1a,1a,0a,0a,1a,1a,1a,0a,1a,1a,0a,1a,0a,1a,1a,0a
1a,1a,0a,1a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a
1a,1a,1a,0a,1a,0a,0a,0a,0a,0a,1a,1a,1a,1a,0a,0a
1a,1a,0a,1a,0a,0a,0a,1a,0a,1a,1a,0a,1a,0a,0a,1a
0a,0a,1a,0a,1a,0a,0a,1a,0a,1a,1a,1a,0a,0a,0a,1a
0a,1a,1a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a
0a,0a,0a,0a,1a,1a,0a,1a,0a,0a,0a,0a,0a,1a,0a,1a
1a,1a,1a,0a,0a,1a,0a,0a,0a,0a,1a,1a,0a,0a,0a,0a
1a,0a,1a,1a,1a,0a,0a,0a,0a,1a,0a,0a,0a,1a,1a,1a
1a,0a,1a,0a,1a,0a,0a,0a,1a,0a,1a,0a,0a,0a,1a,0a
0a,0a,0a,0a,0a,0a,1a,0a,1a,0a,0a,1a,1a,1a,0a,1a
1a,1a,0a,0a,1a,0a,1a,0a,0a,1a,0a,0a,0a,0a,1a,0a
1a,1a,1a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,1a,0a
0a,0a,1a,1a,0a,1a,0a,0a,1a,0a,0a,0a,1a,0a,0a,0a
1a,1a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a,0a,0a,1a
1a,0a,0a,0a,0a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a
1a,0a,0a,0a,0a,1a,0a,1a,0a,0a,0a,1a,1a,0a,0a,0a
0a,1a,1a,0a,0a,0a,1a,0a,0a,0a,0a,0a,1a,0a,0a,0a
1a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,1a
1a,1a,0a,0a,1a,1a,0a,1a,1a,0a,0a,0a,0a,1a,0a,1a
0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a
0a,0a,1a,0a,0a,0a,1a,1a,0a,0a,0a,0a,1a,1a,0a,0a
0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,1a,0a,0a,1a,0a,1a
0a,0a,1a,0a,1a,0a,0a,0a,1a,0a,1a,0a,0a,0a,0a,1a
0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,1a,1a,1a,1a,0a
1a,1a,0a,1a,1a,1a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a
1a,1a,1a,0a,0a,0a,0a,0a,0a,1a,1a,1a,0a,1a,1a,0a
1a,1a,0a,0a,0a,1a,1a,0a,1a,0a,0a,1a,0a,0a,1a,0a
1a,1a,1a,1a,0a,0a,0a,0a,0a,0a,1a,0a,1a,0a,1a,0a
1a,0a,1a,0a,0a,0a,0a,0a,0a,1a,1a,1a,1a,1a,0a,1a
1a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,1a
0a,0a,1a,1a,0a,0a,1a,0a,0a,0a,1a,1a,0a,0a,0a,0a
0a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,1a,0a,0a,0a
0a,1a,0a,0a,1a,0a,0a,0a,1a,0a,0a,1a,0a,1a,0a,1a
0a,1a,1a,0a,0a,1a,0a,0a,0a,1a,0a,1a,1a,0a,0a,0a
1a,0a,0a,1a,0a,1a,0a,0a,0a,0a,1a,0a,1a,0a,1a,0a
0a,1a,0a,0a,0a,1a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a
0a,1a,1a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,0a
1a,1a,1a,1a,0a,1a,0a,0a,0a,1a,1a,0a,1a,1a,1a,1a
0a,1a,0a,0a,0a,1a,0a,1a,1a,1a,1a,0a,1a,0a,0a,0a
1a,1a,0a,0a,0a,1a,1a,0a,0a,1a,0a,0a,0a,0a,1a,1a
0a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a,1a
0a,0a,1a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a
0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,0a,1a
1a,1a,1a,0a,0a,1a,0a,0a,1a,1a,0a,0a,1a,0a,0a,1a
0a,1a,1a,0a,0a,0a,1a,0a,0a,1a,0a,1a,0a,0a,0a,1a
1a,0a,0a,1a,0a,1a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a
1a,0a,0a,0a,0a,1a,0a,0a,1a,0a,0a,1a,0a,0a,1a,1a
0a,0a,0a,1a,0a,1a,1a,0a,0a,1a,0a,0a,0a,0a,0a,0a
0a,0a,1a,1a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a
1a,1a,0a,1a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a
0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,1a,0a,1a,0a
0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,1a,0a
1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a
0a,1a,1a,0a,1a,1a,0a,1a,1a,1a,0a,0a,1a,1a,0a,0a
0a,0a,1a,1a,0a,0a,0a,0a,1a,0a,0a,0a,1a,0a,0a,1a
1a,0a,1a,0a,0a,0a,0a,1a,0a,0a,1a,1a,1a,0a,0a,1a
1a,0a,1a,0a,1a,1a,0a,0a,1a,1a,0a,0a,1a,1a,0a,0a
0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,1a,0a,1a,0a,1a,1a
0a,1a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a
0a,0a,0a,1a,0a,0a,0a,1a,1a,0a,0a,1a,0a,0a,0a,1a
0a,0a,0a,0a,0a,1a,0a,0a,1a,1a,1a,0a,0a,0a,0a,1a
1a,1a,0a,0a,1a,1a,1a,0a,0a,0a,0a,1a,1a,0a,0a,0a
0a,0a,0a,1a,1a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a
0a,1a,0a,0a,1a,1a,0a,1a,0a,1a,0a,0a,0a,0a,0a,0a
1a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,0a,0a,0a
0a,1a,1a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a
0a,0a,0a,0a,0a,0a,1a,0a,1a,0a,1a,1a,0a,0a,1a,0a
0a,0a,1a,0a,0a,0a,0a,1a,0a,0a,0a,1a,1a,0a,0a,0a
0a,1a,1a,0a,0a,0a,1a,0a,1a,0a,1a,0a,0a,0a,0a,0a
0a,1a,0a,1a,0a,0a,1a,1a,0a,1a,1a,1a,1a,0a,0a,0a
0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,1a,1a,1a,1a,1a
0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,1a,0a,0a,0a,0a
0a,1a,0a,1a,1a,1a,0a,0a,0a,1a,1a,1a,0a,1a,0a,0a
0a,1a,0a,0a,0a,1a,1a,1a,0a,0a,0a,0a,0a,0a,0a,1a
1a,0a,0a,1a,0a,1a,0a,0a,0a,1a,0a,1a,0a,0a,0a,1a
0a,0a,0a,1a,1a,0a,0a,0a,1a,0a,1a,0a,1a,0a,0a,0a
0a,0a,0a,0a,0a,1a,1a,1a,1a,0a,0a,0a,1a,1a,0a,1a
0a,0a,1a,0a,1a,0a,1a,0a,1a,1a,1a,1a,0a,0a,1a,0a
0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,1a,0a,1a,1a,0a,1a
0a,0a,0a,0a,1a,0a,1a,0a,0a,0a,1a,0a,0a,1a,0a,0a
0a,1a,0a,0a,0a,1a,0a,0a,0a,0a,1a,0a,1a,1a,1a,1a
0a,1a,1a,1a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,0a,1a
0a,0a,1a,1a,0a,0a,0a,1a,1a,1a,1a,0a,1a,0a,1a,1a
1a,1a,1a,0a,1a,0a,0a,1a,0a,0a,0a,0a,1a,0a,0a,1a
0a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a
1a,0a,0a,0a,1a,0a,0a,1a,1a,0a,0a,0a,1a,1a,0a,1a
0a,0a,1a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,1a,1a,0a
0a,0a,0a,0a,0a,0a,0a,1a,0a,1a,0a,0a,1a,1a,0a,0a
1a,0a,0a,0a,0a,0a,0a,0a,1a,0a,1a,1a,1a,1a,0a,1a
0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,1a
1a,0a,0a,1a,1a,0a,1a,1a,0a,1a,0a,0a,1a,0a,1a,0a
1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,1a
1a,1a,0a,1a,0a,1a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a
1a,0a,0a,1a,0a,1a,0a,1a,1a,1a,0a,0a,0a,1a,1a,0a
0a,1a,1a,0a,0a,0a,1a,0a,0a,0a,0a,0a,1a,0a,0a,0a
0a,1a,0a,0a,1a,1a,0a,0a,0a,1a,0a,0a,1a,1a,0a,0a
0a,0a,1a,0a,1a,1a,0a,0a,0a,0a,1a,0a,0a,1a,1a,1a
0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a,0a,0a,0a,1a,0a
0a,1a,0a,0a,1a,0a,1a,0a,1a,1a,0a,0a,1a,0a,0a,1a
1a,1a,0a,1a,0a,1a,1a,1a,0a,0a,0a,1a,1a,0a,0a,1a
0a,1a,0a,0a,0a,1a,0a,0a,0a,0a,1a,1a,0a,1a,1a,1a
1a,1a,0a,1a,1a,1a,0a,1a,1a,0a,1a,1a,0a,0a,1a,0a
0a,0a,1a,0a,1a,1a,0a,1a,1a,0a,0a,0a,1a,0a,1a,0a
1a,1a,0a,0a,0a,0a,0a,1a,0a,1a,0a,0a,0a,1a,1a,1a
0a,0a,1a,1a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a
0a,0a,0a,1a,0a,1a,0a,0a,0a,0a,1a,1a,1a,1a,0a,1a
1a,1a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a,1a,0a
0a,0a,0a,0a,0a,0a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a
0a,0a,0a,0a,1a,0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a
0a,0a,0a,0a,0a,1a,0a,1a,1a,1a,1a,0a,0a,0a,0a,1a
1a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,1a,0a
1a,0a,0a,0a,0a,1a,0a,0a,1a,0a,0a,0a,0a,0a,1a,0a
0a,0a,0a,1a,0a,0a,0a,1a,0a,0a,1a,0a,0a,1a,1a,1a
0a,0a,0a,1a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,1a,0a
1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a,0a,0a
0a,0a,1a,1a,1a,0a,0a,1a,0a,1a,0a,0a,0a,0a,0a,0a
0a,1a,0a,1a,0a,1a,0a,0a,0a,1a,1a,1a,1a,0a,0a,0a
0a,1a,1a,1a,1a,1a,0a,1a,1a,1a,0a,1a,1a,0a,1a,1a
0a,0a,0a,1a,0a,0a,0a,1a,0a,0a,1a,0a,0a,0a,1a,0a
0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,1a,0a,0a
1a,0a,0a,0a,1a,0a,1a,1a,0a,0a,0a,0a,0a,0a,0a,0a
0a,1a,1a,0a,1a,1a,0a,1a,0a,0a,1a,0a,0a,0a,0a,0a
1a,1a,0a,1a,1a,0a,0a,1a,0a,0a,0a,0a,1a,1a,1a,0a
0a,0a,1a,0a,1a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,1a
1a,0a,0a,0a,1a,0a,0a,0a,1a,1a,1a,1a,1a,1a,0a,0a
0a,1a,1a,0a,0a,1a,0a,1a,0a,0a,0a,0a,1a,1a,1a,0a
0a,1a,1a,1a,1a,0a,0a,0a,1a,0a,1a,0a,0a,0a,0a,1a
0a,0a,1a,0a,1a,1a,0a,0a,1a,0a,0a,1a,0a,1a,0a,1a
0a,1a,1a,1a,0a,1a,1a,0a,1a,0a,1a,1a,0a,0a,0a,1a
0a,0a,0a,1a,0a,0a,0a,0a,1a,0a,0a,0a,1a,1a,1a,0a
0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,1a
0a,1a,1a,0a,1a,1a,0a,0a,0a,0a,0a,0a,1a,0a,1a,0a
1a,0a,0a,0a,0a,1a,1a,1a,0a,1a,1a,1a,1a,0a,0a,0a
1a,0a,0a,0a,1a,1a,1a,0a,0a,0a,0a,0a,0a,0a,1a,0a
1a,1a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,0a,0a,0a
0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,1a,0a,0a,1a
0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,1a,0a,1a,0a,0a,0a
0a,1a,0a,0a,0a,0a,1a,1a,0a,0a,1a,1a,1a,1a,0a,0a
0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a
0a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a
0a,1a,1a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a
0a,1a,0a,0a,1a,0a,1a,0a,1a,1a,0a,1a,0a,0a,0a,0a
1a,1a,1a,0a,1a,1a,0a,0a,0a,0a,0a,0a,1a,0a,1a,1a
0a,0a,1a,1a,0a,0a,0a,1a,0a,0a,1a,0a,1a,0a,1a,0a
1a,1a,0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a,0a,1a,1a
1a,1a,0a,0a,0a,0a,1a,0a,0a,1a,1a,0a,0a,0a,1a,0a
1a,1a,0a,1a,0a,0a,0a,0a,0a,0a,0a,0a,1a,0a,1a,1a
0a,1a,1a,0a,1a,1a,0a,1a,1a,0a,0a,0a,1a,1a,0a,1a
1a,1a,0a,1a,0a,1a,0a,0a,1a,0a,1a,0a,0a,0a,0a,0a
0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,1a,0a,0a,0a,1a,0a
1a,1a,0a,1a,0a,1a,0a,0a,1a,0a,0a,1a,1a,0a,1a,0a
1a,1a,1a,0a,0a,1a,0a,0a,0a,0a,0a,0a,0a,1a,1a,1a
1a,1a,1a,0a,0a,0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,0a
1a,1a,0a,1a,0a,0a,1a,0a,1a,1a,1a,0a,1a,0a,0a,0a
0a,1a,0a,0a,1a,1a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a
0a,1a,0a,0a,1a,0a,1a,0a,0a,0a,1a,0a,1a,0a,0a,0a
0a,0a,0a,0a,0a,0a,0a,1a,0a,0a,0a,0a,1a,0a,1a,0a
0a,0a,0a,1a,0a,1a,0a,1a,0a,0a,1a,0a,0a,0a,1a,0a
0a,1a,0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,1a,0a,0a,0a
1a,1a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,1a,0a,0a,1a
1a,0a,0a,1a,0a,0a,0a,1a,1a,0a,1a,0a,0a,0a,0a,0a
1a,0a,1a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a,0a,1a,0a
1a,1a,1a,1a,1a,0a,0a,1a,1a,0a,0a,1a,0a,1a,1a,0a
0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,0a,1a
0a,0a,1a,0a,0a,1a,0a,1a,0a,0a,1a,1a,1a,0a,1a,0a
0a,1a,1a,0a,0a,1a,0a,0a,0a,0a,1a,0a,0a,0a,0a,0a
0a,0a,0a,0a,0a,1a,1a,0a,0a,0a,1a,0a,0a,1a,1a,0a
1a,1a,1a,0a,0a,1a,0a,1a,0a,1a,1a,0a,1a,0a,0a,1a
0a,0a,0a,1a,1a,0a,0a,0a,0a,1a,0a,0a,0a,0a,1a,0a
